pathway_id	flags	source_count	manifest_path
flu_like_illness	PLACEHOLDER_MARKERS	4	data/sources/pathways/flu_like_illness/manifest.json
food_poisoning	PLACEHOLDER_MARKERS	4	data/sources/pathways/food_poisoning/manifest.json
gerd_nausea	PLACEHOLDER_MARKERS	4	data/sources/pathways/gerd_nausea/manifest.json
gi_bleed_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/gi_bleed_possible/manifest.json
gout_flare	PLACEHOLDER_MARKERS	4	data/sources/pathways/gout_flare/manifest.json
grief_adjustment_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/grief_adjustment_noncrisis/manifest.json
hand_foot_mouth_child	PLACEHOLDER_MARKERS	4	data/sources/pathways/hand_foot_mouth_child/manifest.json
headache_redflags	PLACEHOLDER_MARKERS	3	data/sources/pathways/headache_redflags/manifest.json
heart_failure_exacerbation	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/heart_failure_exacerbation/manifest.json
heartburn_gerd	LT3_SOURCES	1	data/sources/pathways/heartburn_gerd/manifest.json
heat_illness	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/heat_illness/manifest.json
hemorrhoids_rectal_pain	PLACEHOLDER_MARKERS	4	data/sources/pathways/hemorrhoids_rectal_pain/manifest.json
hordeolum_stye	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/hordeolum_stye/manifest.json
hyperemesis_gravidarum_possible	LT3_SOURCES	2	data/sources/pathways/hyperemesis_gravidarum_possible/manifest.json
hyperkalemia_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/hyperkalemia_possible/manifest.json
hypertensive_urgency	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/hypertensive_urgency/manifest.json
hypoglycemia_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/hypoglycemia_possible/manifest.json
insect_bite_sting	LT3_SOURCES	1	data/sources/pathways/insect_bite_sting/manifest.json
insomnia	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/insomnia/manifest.json
kidney_infection_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/kidney_infection_possible/manifest.json
kidney_stone	PLACEHOLDER_MARKERS	4	data/sources/pathways/kidney_stone/manifest.json
low_back_pain	LT3_SOURCES	2	data/sources/pathways/low_back_pain/manifest.json
mastitis_breastfeeding	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/mastitis_breastfeeding/manifest.json
med_adverse_reaction	PLACEHOLDER_MARKERS	3	data/sources/pathways/med_adverse_reaction/manifest.json
med_side_effect	PLACEHOLDER_MARKERS	4	data/sources/pathways/med_side_effect/manifest.json
meningitis_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/meningitis_possible/manifest.json
migraine	PLACEHOLDER_MARKERS	4	data/sources/pathways/migraine/manifest.json
migraine_headache	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/migraine_headache/manifest.json
minor_burn	LT3_SOURCES	1	data/sources/pathways/minor_burn/manifest.json
minor_head_injury	PLACEHOLDER_MARKERS	4	data/sources/pathways/minor_head_injury/manifest.json
minor_laceration_cut	PLACEHOLDER_MARKERS	4	data/sources/pathways/minor_laceration_cut/manifest.json
minor_wound_care	LT3_SOURCES	1	data/sources/pathways/minor_wound_care/manifest.json
nausea_after_new_med	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/nausea_after_new_med/manifest.json
nausea_vomiting	LT3_SOURCES	2	data/sources/pathways/nausea_vomiting/manifest.json
neck_pain_nontraumatic	LT3_SOURCES	1	data/sources/pathways/neck_pain_nontraumatic/manifest.json
new_onset_diabetes_hyperglycemia	PLACEHOLDER_MARKERS	3	data/sources/pathways/new_onset_diabetes_hyperglycemia/manifest.json
nosebleed_epistaxis	PLACEHOLDER_MARKERS	4	data/sources/pathways/nosebleed_epistaxis/manifest.json
opioid_withdrawal_mild	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/opioid_withdrawal_mild/manifest.json
otitis_externa	PLACEHOLDER_MARKERS	4	data/sources/pathways/otitis_externa/manifest.json
otitis_media	PLACEHOLDER_MARKERS	4	data/sources/pathways/otitis_media/manifest.json
otitis_media_child	LT3_SOURCES	2	data/sources/pathways/otitis_media_child/manifest.json
pancreatitis_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/pancreatitis_possible/manifest.json
pelvic_pain	PLACEHOLDER_MARKERS	4	data/sources/pathways/pelvic_pain/manifest.json
peptic_ulcer_gastritis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/peptic_ulcer_gastritis/manifest.json
pink_eye_bacterial	PLACEHOLDER_MARKERS	4	data/sources/pathways/pink_eye_bacterial/manifest.json
pneumonia_adult_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/pneumonia_adult_possible/manifest.json
pneumonia_child_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/pneumonia_child_possible/manifest.json
pneumonia_possible	PLACEHOLDER_MARKERS	4	data/sources/pathways/pneumonia_possible/manifest.json
postpartum_redflags	LT3_SOURCES	2	data/sources/pathways/postpartum_redflags/manifest.json
pregnancy_bleeding_early	PLACEHOLDER_MARKERS	3	data/sources/pathways/pregnancy_bleeding_early/manifest.json
pruritus_generalized_no_rash	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/pruritus_generalized_no_rash/manifest.json
ptsd_symptoms_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/ptsd_symptoms_noncrisis/manifest.json
pulmonary_embolism_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/pulmonary_embolism_possible/manifest.json
pyelonephritis_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/pyelonephritis_possible/manifest.json
red_eye	LT3_SOURCES	2	data/sources/pathways/red_eye/manifest.json
relationship_distress_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/relationship_distress_noncrisis/manifest.json
rib_pain_after_fall	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/rib_pain_after_fall/manifest.json
sciatica	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/sciatica/manifest.json
sciatica_radiculopathy	PLACEHOLDER_MARKERS	4	data/sources/pathways/sciatica_radiculopathy/manifest.json
seizure_new_onset	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/seizure_new_onset/manifest.json
sepsis_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/sepsis_possible/manifest.json
shingles	PLACEHOLDER_MARKERS	4	data/sources/pathways/shingles/manifest.json
shoulder_pain_overuse	LT3_SOURCES	1	data/sources/pathways/shoulder_pain_overuse/manifest.json
sinusitis	LT3_SOURCES	1	data/sources/pathways/sinusitis/manifest.json
skin_abscess	PLACEHOLDER_MARKERS	4	data/sources/pathways/skin_abscess/manifest.json
skin_splinter_foreign_body	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/skin_splinter_foreign_body/manifest.json
sore_throat_child	LT3_SOURCES	2	data/sources/pathways/sore_throat_child/manifest.json
sprain_strain	LT3_SOURCES	1	data/sources/pathways/sprain_strain/manifest.json
stroke_neuro	PLACEHOLDER_MARKERS	4	data/sources/pathways/stroke_neuro/manifest.json
substance_use_concern_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/substance_use_concern_noncrisis/manifest.json
syncope_fainting	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/syncope_fainting/manifest.json
testicular_pain_torsion_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/testicular_pain_torsion_possible/manifest.json
uri_sinus_overlap	PLACEHOLDER_MARKERS	4	data/sources/pathways/uri_sinus_overlap/manifest.json
urinary_frequency_no_pain	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/urinary_frequency_no_pain/manifest.json
urinary_incontinence_new	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/urinary_incontinence_new/manifest.json
urinary_retention	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/urinary_retention/manifest.json
urticaria_hives	PLACEHOLDER_MARKERS	4	data/sources/pathways/urticaria_hives/manifest.json
uti_complicated	PLACEHOLDER_MARKERS	4	data/sources/pathways/uti_complicated/manifest.json
uti_male	PLACEHOLDER_MARKERS	4	data/sources/pathways/uti_male/manifest.json
uti_pregnancy_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/uti_pregnancy_possible/manifest.json
uti_uncomplicated	PLACEHOLDER_MARKERS	4	data/sources/pathways/uti_uncomplicated/manifest.json
vaginal_discharge	PLACEHOLDER_MARKERS	4	data/sources/pathways/vaginal_discharge/manifest.json
vaginal_yeast	PLACEHOLDER_MARKERS	4	data/sources/pathways/vaginal_yeast/manifest.json
vertigo_bppv	PLACEHOLDER_MARKERS	4	data/sources/pathways/vertigo_bppv/manifest.json
viral_uri_adult	LT3_SOURCES	1	data/sources/pathways/viral_uri_adult/manifest.json
vomiting_child	LT3_SOURCES	1	data/sources/pathways/vomiting_child/manifest.json
work_stress_burnout_noncrisis	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/work_stress_burnout_noncrisis/manifest.json
wound_infection_possible	PLACEHOLDER_MARKERS	3	data/sources/pathways/wound_infection_possible/manifest.json
wrist_fracture_possible	LT3_SOURCES,PLACEHOLDER_MARKERS	1	data/sources/pathways/wrist_fracture_possible/manifest.json
